par,signals,hit_30m,hit_1h,hit_4h,hit_24h,hit_rate_30m,hit_rate_1h,hit_rate_4h,hit_rate_24h,avg_time_to_hit_30m,avg_time_to_hit_1h,avg_time_to_hit_4h,avg_time_to_hit_24h,avg_adverse_30m,avg_adverse_1h,avg_adverse_4h,avg_adverse_24h
AAVE,50,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.57,-1.31,-7.41,-7.41
ADA,31,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.49,-0.69,-1.46,-1.46
APT,98,0,0,15,15,0.0,0.0,15.31,15.31,,,109.6,109.6,-0.35,-0.51,-1.21,-1.21
AR,33,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.92,-1.3,-3.56,-3.56
ARB,71,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.55,-0.75,-1.84,-1.84
AVAX,49,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.37,-0.54,-1.48,-1.48
AXS,98,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.35,-0.45,-1.0,-1.08
BAT,23,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-1.14,-2.16,-4.68,-4.68
BCH,48,0,0,2,2,0.0,0.0,4.17,4.17,,,171.0,171.0,-0.27,-0.37,-0.64,-0.64
BNB,56,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.26,-0.33,-0.62,-0.62
BTC,52,0,0,8,8,0.0,0.0,15.38,15.38,,,162.4,162.4,-0.25,-0.31,-0.36,-0.36
COMP,98,0,6,21,21,0.0,6.12,21.43,21.43,,54.2,81.7,81.7,-0.36,-0.53,-1.49,-1.49
CRV,80,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.52,-0.68,-1.52,-1.52
DASH,94,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.59,-0.76,-1.07,-1.07
DOGE,50,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.37,-0.46,-0.56,-0.56
DOT,68,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.39,-0.55,-1.38,-1.38
ETC,69,0,2,7,7,0.0,2.9,10.14,10.14,,52.5,71.9,71.9,-0.41,-0.56,-1.3,-1.3
ETH,96,0,2,11,11,0.0,2.08,11.46,11.46,,58.0,84.8,84.8,-0.27,-0.36,-0.63,-0.63
FIL,51,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.53,-0.76,-1.99,-1.99
FLOW,98,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.59,-0.89,-1.31,-1.31
GALA,64,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.4,-0.51,-1.14,-1.14
GRT,51,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.49,-0.71,-1.98,-1.98
HBAR,2,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-1.08,-2.46,-5.74,-5.74
ICP,56,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.53,-0.75,-1.84,-1.84
INJ,71,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.45,-0.66,-1.59,-1.59
KAVA,81,0,0,3,3,0.0,0.0,3.7,3.7,,,161.7,161.7,-0.37,-0.51,-1.04,-1.04
KSM,27,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.56,-0.85,-2.56,-2.56
LINK,85,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.37,-0.51,-1.1,-1.1
LTC,33,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.34,-0.46,-0.85,-0.85
MANA,9,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.95,-1.36,-2.82,-2.82
NEAR,98,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.42,-0.63,-1.19,-1.19
NEO,7,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.8,-1.03,-1.92,-1.92
ONT,61,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.33,-0.47,-1.06,-1.06
OP,92,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.5,-0.72,-1.73,-1.73
ORDI,6,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-1.19,-1.26,-3.84,-3.84
ROSE,76,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.69,-1.11,-1.59,-1.59
RUNE,44,0,0,2,2,0.0,0.0,4.55,4.55,,,106.0,106.0,-0.23,-0.32,-0.71,-0.71
SAND,77,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.49,-0.66,-1.56,-1.56
SEI,21,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.75,-1.2,-3.82,-3.82
SNX,4,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.37,-0.37,-0.37,-0.37
SOL,98,0,2,25,31,0.0,2.04,25.51,31.63,,58.0,129.4,156.2,-0.31,-0.36,-0.38,-0.38
SUI,82,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.46,-0.62,-1.22,-1.22
SUSHI,67,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.43,-0.61,-1.73,-1.73
TIA,34,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.72,-0.98,-2.12,-2.12
UNI,69,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.3,-0.41,-0.62,-0.62
XLM,14,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.07,-0.07,-0.07,-0.07
XRP,76,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.37,-0.52,-0.65,-0.65
XVS,98,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.23,-0.34,-0.69,-0.71
ZEC,61,0,0,0,0,0.0,0.0,0.0,0.0,,,,,-0.37,-0.46,-0.49,-0.49
